iter	RMSE
0	0.7079131284
1	0.6635229407
2	0.6240591943
3	0.5863079911
4	0.5527044374
5	0.5236093748
6	0.4978711247
7	0.4721310497
8	0.4504715193
9	0.4319353872
10	0.415015811
11	0.3998943285
12	0.386582865
13	0.3745330668
14	0.3632030719
15	0.3544993542
16	0.3463704032
17	0.3391163178
18	0.3320594418
19	0.3265134547
20	0.3217608391
21	0.31756863
22	0.3143223
23	0.3109844164
24	0.3077362262
25	0.3055598673
26	0.302977936
27	0.3013458103
28	0.2995551617
29	0.2980818016
30	0.296887675
31	0.2959430754
32	0.2942576656
33	0.2933311996
34	0.2922593159
35	0.291705546
36	0.2911312736
37	0.2902335762
38	0.2895784597
39	0.2889652195
40	0.2884025664
41	0.2881569092
42	0.2875931569
43	0.2873825168
44	0.287079877
45	0.2867204994
46	0.2864358796
47	0.2862531038
48	0.2860472439
49	0.2857269142
50	0.285578839
51	0.2852891188
52	0.2849285058
53	0.2848305228
54	0.2846764905
55	0.2845530879
56	0.2843161846
57	0.2842029466
58	0.2840911273
59	0.2839030654
60	0.2836657617
61	0.2835223669
62	0.2834540434
63	0.2833004786
64	0.2829265359
65	0.2825387111
66	0.2823662971
67	0.2820808911
68	0.2818780362
69	0.2817419501
70	0.2816826258
71	0.2816387649
72	0.2814551983
73	0.2812631318
74	0.2811457556
75	0.2809673208
76	0.280709102
77	0.280541841
78	0.2803737295
79	0.2801294776
80	0.2798871446
81	0.2796605136
82	0.2793649302
83	0.2791425617
84	0.2790180376
85	0.278886679
86	0.278792061
87	0.2786567326
88	0.2783503023
89	0.2781155935
90	0.2780142241
91	0.2778171954
92	0.2774297121
93	0.2773016507
94	0.2770836326
95	0.2770014076
96	0.2768270176
97	0.2765956122
98	0.2764000086
99	0.2763284848
100	0.2760626943
101	0.2758545939
102	0.2757742753
103	0.2756414223
104	0.2754122491
105	0.2752949136
106	0.2751699955
107	0.2749787476
108	0.2749138958
109	0.2747274083
110	0.274587184
111	0.2744475654
112	0.274344213
113	0.2741656715
114	0.2741059559
115	0.2739367277
116	0.273703384
117	0.2736389879
118	0.2734642614
119	0.2733128307
120	0.2731055747
121	0.2730039693
122	0.2728376807
123	0.2727005027
124	0.2725573372
125	0.2724224944
