iter	Passed	Remaining
0	2	2472
1	4	2347
2	7	2342
3	9	2324
4	11	2348
5	14	2336
6	16	2369
7	19	2394
8	21	2388
9	24	2382
10	26	2380
11	28	2375
12	31	2376
13	34	2398
14	36	2426
15	39	2420
16	41	2411
17	44	2416
18	46	2409
19	49	2416
20	51	2419
21	54	2415
22	56	2405
23	58	2399
24	61	2402
25	64	2402
26	66	2396
27	68	2393
28	71	2388
29	73	2381
30	76	2379
31	78	2374
32	81	2375
33	83	2370
34	85	2368
35	88	2363
36	90	2364
37	93	2360
38	95	2360
39	98	2357
40	100	2354
41	103	2350
42	105	2350
43	108	2347
44	110	2343
45	112	2341
46	115	2339
47	117	2337
48	120	2340
49	122	2335
50	125	2331
51	127	2331
52	130	2328
53	132	2327
54	135	2325
55	138	2328
56	140	2324
57	143	2322
58	145	2323
59	148	2319
60	150	2315
61	152	2313
62	155	2311
63	157	2306
64	160	2305
65	162	2302
66	165	2302
67	167	2300
68	170	2296
69	172	2294
70	175	2293
71	177	2292
72	180	2289
73	182	2286
74	185	2282
75	187	2279
76	190	2277
77	192	2277
78	195	2273
79	197	2274
80	200	2271
81	202	2270
82	205	2266
83	207	2265
84	210	2263
85	212	2262
86	215	2258
87	217	2256
88	220	2254
89	222	2250
90	225	2248
91	227	2247
92	229	2243
93	232	2239
94	234	2235
95	237	2232
96	239	2230
97	241	2227
98	244	2223
99	246	2220
100	249	2217
101	251	2214
102	253	2211
103	256	2211
104	259	2211
105	261	2208
106	264	2205
107	266	2202
108	269	2199
109	271	2196
110	273	2194
111	276	2191
112	278	2188
113	281	2185
114	283	2182
115	285	2179
116	288	2177
117	290	2175
118	293	2171
119	295	2168
120	298	2166
121	300	2162
122	303	2161
123	305	2158
124	307	2155
125	310	2152
126	312	2149
127	315	2146
128	317	2143
129	320	2142
130	322	2139
131	325	2137
132	327	2135
133	330	2133
134	332	2131
135	335	2129
136	337	2126
137	340	2123
138	342	2121
139	345	2120
140	347	2118
141	350	2116
142	352	2115
143	355	2114
144	358	2113
145	361	2111
146	363	2109
147	365	2106
148	368	2105
149	371	2102
150	373	2101
151	376	2098
152	378	2095
153	381	2093
154	383	2092
155	386	2091
156	389	2092
157	392	2091
158	394	2089
159	397	2087
160	400	2086
161	402	2084
162	405	2082
163	408	2080
164	410	2078
